Itemset,Frequency
"onion, strawberries",5
"buttermilk, cornmeal",4
"cornmeal, oats",2
"cornmeal, soda",3
"chicken, grape",1
"chicken, slices",6
"crumbs, grape",1
"crumbs, salad",7
"crumbs, size",3
"egg, grape",2
"egg, salad",3
"egg, size",4
"garlic, grape",3
"grape, mushrooms",1
"grape, salad",1
"grape, water",3
"salad, size",1
"cumin, pineapple",3
"honey, pineapple",5
"mushrooms, raisins",1
"pineapple, root",4
"carrot, extract",3
"carrot, pineapple",5
"carrot, soda",2
"milk, pineapple",8
"bite, cashews",2
"bite, chives",1
"bite, ginger",6
"bite, stock",4
"cashews, chives",1
"cashews, stock",2
"chives, stock",10
"beans, leeks",4
"beans, scallions",6
"beans, shoots",3
"beans, shrimp",9
"chunks, leeks",3
"chunks, scallions",1
"chunks, shoots",3
"leeks, milk",4
"leeks, paste",1
"leeks, rice",3
"leeks, sauce",3
"leeks, scallions",1
"leeks, shoots",1
"leeks, shrimp",2
"leeks, size",1
"milk, shoots",3
"oil, scallions",28
"paste, scallions",7
"paste, shoots",4
"rice, scallions",5
"sauce, scallions",15
"scallions, shoots",1
"scallions, shrimp",5
"scallions, size",5
"scallions, sugar",7
"shoots, size",2
"shoots, sugar",7
"shrimp, size",6
"cilantro, jerk",3
"jerk, oil",3
"jerk, pepper",2
"jerk, pineapple",1
"jerk, spray",1
"jerk, strips",2
"jerk, tortillas",1
"jerk, wedges",2
"pineapple, wedges",2
"flakes, mangoes",1
"mangoes, onion",2
"mangoes, pineapple",2
"mangoes, root",2
"mangoes, sugar",8
"mangoes, vinegar",2
"corn, ounce",11
"cumin, medallions",1
"cumin, starch",1
"cumin, syrup",5
"medallions, oil",3
"medallions, onions",1
"medallions, pepper",2
"medallions, salt",2
"medallions, soy",1
"medallions, starch",1
"medallions, sugar",1
"medallions, syrup",1
"medallions, tomato",1
"onions, starch",2
"soy, starch",2
"starch, syrup",1
"starch, tomato",1
"syrup, tomato",2
"bacon, prawns",1
"bacon, yolks",3
"cubes, prawns",1
"cubes, yolks",3
"leaves, pineapple",3
"leaves, prawns",2
"leaves, yolks",2
"oil, yolks",9
"onions, prawns",1
"onions, yolks",2
"pineapple, prawns",1
"pineapple, shallots",2
"pineapple, yolks",3
"prawns, rice",1
"prawns, sauce",2
"prawns, shallots",1
"prawns, sugar",2
"prawns, yolks",1
"sauce, yolks",3
"shallots, yolks",1
"sugar, yolks",20
"chops, pineapple",2
"mustard, pineapple",5
"pineapple, wine",2
"carrots, membranes",1
"carrots, pectin",1
"carrots, pineapple",7
"membranes, pectin",1
"membranes, pineapple",1
"membranes, sugar",1
"pectin, pepper",1
"pectin, pineapple",2
"pectin, salt",1
"pectin, vinegar",2
"cilantro, tequila",4
"cream, pineapple",8
"cream, tequila",1
"garlic, tequila",3
"halves, pineapple",3
"halves, tequila",1
"juice, tequila",4
"milk, tequila",1
"pepper, tequila",3
"pineapple, tequila",1
"sugar, tequila",1
"bite, broccoli",2
"honey, mango",7
"mango, potatoes",2
"mango, water",15
"chipotle, cilantro",1
"chipotle, garlic",4
"chipotle, oil",8
"chipotle, onion",7
"chipotle, pepper",9
"chipotle, salt",5
"chipotle, strips",1
"chipotle, zest",1
"flakes, stick",1
"pods, seed",3
"root, seed",4
"stick, strips",2
"cinnamon, lengthwise",3
"cinnamon, mace",2
"cinnamon, mangos",2
"ginger, mace",1
"ginger, mangos",1
"juice, mace",1
"lengthwise, mace",1
"lengthwise, mangos",1
"lengthwise, pecans",1
"mace, mangos",1
"mace, oil",3
"mace, onion",4
"mace, pecans",1
"mace, pepper",4
"mace, sugar",4
"mangos, pecans",1
"cilantro, oelek",6
"mango, oelek",2
"oelek, salt",7
"arrowroot, ginger",1
"arrowroot, sauce",1
"arrowroot, sriracha",1
"sriracha, tomato",2
"basil, jar",1
"basil, rings",3
"beans, jar",11
"beans, mango",10
"jar, leaves",1
"jar, mango",1
"jar, rings",1
"leaves, mango",3
"baking, coconut",1
"baking, ginger",2
"baking, honey",1
"baking, mango",1
"baking, yogurt",1
"chunks, cucumbers",1
"beans, loin",3
"beans, prawns",1
"loin, okra",1
"loin, prawns",1
"loin, size",2
"loin, tomato",2
"okra, prawns",1
"prawns, size",1
"prawns, tomato",1
"cubes, half",10
"half, sprigs",1
"beets, chunks",1
"beets, florets",1
"beets, potato",1
"beets, sprouts",1
"chunks, potato",2
"florets, sprouts",2
"potato, sprouts",1
"apricot, chops",2
"apricot, cinnamon",1
"apricot, ginger",3
"apricot, liquid",1
"apricot, oil",2
"apricot, pecans",1
"apricot, pepper",6
"apricot, vanilla",1
"chops, pecans",3
"chops, spray",15
"chops, vanilla",1
"ginger, liquid",2
"ginger, vanilla",1
"liquid, nutmeg",2
"liquid, pecans",1
"liquid, spray",1
"liquid, vanilla",1
"asparagus, carrots",4
"asparagus, parsnip",1
"asparagus, peppers",2
"asparagus, yam",1
"basil, parsnip",1
"basil, yam",2
"carrots, yam",3
"cloves, parsnip",1
"cloves, yam",2
"oil, yam",6
"parsnip, peppers",1
"parsnip, slices",1
"parsnip, yam",1
"pepper, yam",2
"peppers, yam",2
"slices, yam",1
"chickpeas, juice",7
"chickpeas, lentils",4
"chickpeas, peas",4
"chickpeas, soy",1
"chickpeas, spinach",7
"chickpeas, vidalia",1
"chickpeas, yams",1
"ginger, vidalia",1
"ginger, yams",2
"juice, vidalia",5
"lentils, peas",9
"lentils, vidalia",1
"lentils, yams",1
"peas, vidalia",3
"peas, yams",1
"salt, yams",6
"soy, vidalia",1
"soy, yams",2
"spinach, vidalia",2
"spinach, yams",2
"vidalia, yams",1
"broth, yams",2
"carrot, leek",4
"carrot, yams",1
"coriander, leek",1
"coriander, yams",2
"garlic, yams",1
"leek, lemon",1
"leek, ounce",1
"leek, spinach",3
"leek, yams",1
"ounce, yams",2
"celery, seeds",9
"basil, turnips",1
"broccoli, coriander",2
"broccoli, sunflower",1
"broccoli, turnips",1
"broccoli, yam",1
"broth, sunflower",1
"carrots, sunflower",1
"celery, coriander",13
"celery, sunflower",1
"celery, yam",2
"cheese, turnips",1
"cheese, yam",1
"coriander, sunflower",1
"coriander, turnips",1
"coriander, yam",2
"flour, sunflower",1
"flour, turnips",1
"flour, yam",5
"milk, turnips",2
"onion, sunflower",1
"onion, yam",2
"sunflower, tomatoes",1
"sunflower, turnips",1
"sunflower, yam",1
"tomatoes, turnips",1
"tomatoes, yam",1
"turnips, yam",1
"limes, paprika",4
"limes, potatoes",1
"onions, rotel",3
"potatoes, rotel",2
"rotel, shrimp",4
"rotel, stock",4
"foil, pineapple",1
"foil, steaks",1
"marshmallows, steaks",1
"pineapple, steaks",2
"potatoes, steaks",2
"curry, size",4
"curry, syrup",2
"size, syrup",2
"asparagus, honey",2
"asparagus, mustard",6
"asparagus, potato",2
"asparagus, tenders",1
"asparagus, vinegar",8
"cloves, tenders",1
"flakes, potato",6
"flakes, tenders",1
"florets, tenders",1
"honey, tenders",1
"mustard, tenders",2
"pepper, tenders",5
"potato, tenders",2
"tenders, tomatoes",1
"tenders, vinegar",1
"butter, rounds",8
"butter, rutabaga",2
"potato, rounds",2
"potato, rutabaga",2
"potato, syrup",4
"rounds, rutabaga",1
"rounds, squash",1
"rounds, syrup",1
"rounds, turnips",1
"rutabaga, syrup",1
"rutabaga, turnips",2
"squash, syrup",6
"syrup, turnips",1
"adobo, broth",2
"adobo, carrots",2
"adobo, celery",2
"adobo, chunks",1
"adobo, cilantro",4
"adobo, cloves",3
"adobo, consomme",1
"adobo, cubes",2
"adobo, drumsticks",1
"adobo, lemons",1
"adobo, loin",1
"adobo, oil",6
"adobo, onions",1
"adobo, quarters",1
"adobo, vinegar",2
"adobo, water",4
"beef, consomme",2
"beef, drumsticks",1
"beef, lemons",1
"beef, loin",2
"broth, drumsticks",3
"broth, lemons",5
"carrots, drumsticks",3
"carrots, lemons",3
"celery, drumsticks",2
"celery, lemons",5
"chunks, consomme",1
"chunks, lemons",1
"cilantro, consomme",1
"cilantro, lemons",6
"cilantro, loin",8
"cilantro, quarters",3
"cloves, drumsticks",3
"consomme, drumsticks",1
"consomme, lemons",1
"consomme, loin",1
"consomme, quarters",1
"consomme, vinegar",1
"cubes, drumsticks",1
"cubes, loin",1
"cubes, quarters",3
"drumsticks, lemons",1
"drumsticks, loin",1
"drumsticks, quarters",1
"lemons, loin",1
"lemons, quarters",2
"loin, quarters",1
"corn, ham",4
"granules, leaves",6
"granules, marjoram",6
"kernels, paste",2
"kernels, shallot",2
"paste, potato",5
"chiles, mayonnaise",1
"corn, crosswise",1
"corn, tops",1
"crosswise, fillets",1
"crosswise, leaves",6
"crosswise, tops",1
"crosswise, vinegar",6
"fillets, tops",1
"half, halves",6
"half, kernels",5
"halves, kernels",4
"kernels, nutmeg",2
"bacon, zucchini",5
"celery, food",2
"chiles, food",1
"corn, food",5
"food, mix",1
"carrot, cob",1
"carrot, size",3
"celery, cob",4
"cob, corn",2
"cob, cream",2
"cob, garlic",1
"cob, size",1
"chestnuts, halves",4
"almonds, concentrate",1
"concentrate, peas",1
"concentrate, thyme",3
"basil, cinnamon",4
"peas, stalk",4
"stalk, sugar",2
"stalk, thyme",2
"beans, cardamom",4
"beans, masala",5
"cardamom, carrots",3
"cardamom, celery",2
"cardamom, lentils",4
"cardamom, masala",5
"carrots, masala",9
"celery, masala",3
"lentils, masala",11
"quinoa, wine",2
"base, carrot",2
"base, mesquite",1
"base, peas",2
"base, sauce",5
"base, vinegar",1
"carrot, mesquite",1
"celery, mesquite",1
"cumin, mesquite",1
"garlic, mesquite",1
"mesquite, oil",1
"mesquite, onion",2
"mesquite, peas",1
"mesquite, pepper",2
"mesquite, sauce",2
"mesquite, vinegar",1
"mesquite, water",1
"bacon, creole",1
"broth, creole",4
"celery, creole",2
"cloves, creole",3
"creole, leaves",4
"creole, onions",4
"creole, peas",1
"creole, rice",2
"creole, steak",1
"lemon, peas",8
"lemon, steak",1
"asparagus, blend",2
"blend, lemon",3
"broth, cucumbers",7
"cucumbers, flakes",2
"cucumbers, milk",1
"avocado, pepperoncini",1
"avocado, sprouts",2
"bread, pepperoncini",1
"bread, sprouts",2
"cheese, pepperoncini",2
"cucumber, pepperoncini",1
"lettuce, pepperoncini",1
"lettuce, sprouts",2
"oil, pepperoncini",1
"pepperoncini, sprouts",1
"pepperoncini, tomato",1
"pepperoncini, vinegar",1
"sprouts, tomato",3
"sprouts, vinegar",12
"cucumbers, watermelon",1
"onion, watermelon",1
"vinegar, watermelon",2
"cucumber, seed",1
"carrot, salad",1
"cucumber, mustard",12
"capers, cucumbers",1
"capers, dill",5
"cucumbers, peppers",3
"dill, peppers",4
"cucumbers, sauce",7
"butter, cucumbers",2
"cucumbers, zucchini",2
"carrot, cucumbers",1
"cucumbers, ginger",2
"carrot, lengthwise",8
"cloves, foods",1
"cloves, spoon",1
"coriander, foods",1
"coriander, spoon",1
"flakes, foods",1
"flakes, spoon",1
"foods, oil",1
"foods, onions",2
"foods, peanuts",1
"foods, sauce",1
"foods, spoon",1
"foods, sugar",1
"foods, vinegar",1
"oil, spoon",1
"onions, spoon",1
"peanuts, spoon",1
"sauce, spoon",1
"spoon, sugar",1
"spoon, vinegar",1
"cucumbers, liquid",1
"cucumbers, matchsticks",1
"matchsticks, rings",2
"matchsticks, salt",8
"matchsticks, vinegar",8
"asparagus, beans",2
"asparagus, chives",4
"asparagus, greens",2
"asparagus, leaves",2
"asparagus, tahini",1
"asparagus, water",8
"basil, greens",2
"basil, tahini",1
"beans, chives",7
"beans, greens",3
"beans, mint",4
"chives, greens",2
"chives, lemon",5
"chives, mint",1
"chives, tahini",1
"garlic, tahini",3
"greens, lemon",2
"greens, parsley",6
"greens, peas",2
"greens, tahini",1
"leaves, tahini",1
"lemon, tahini",2
"mint, tahini",1
"parsley, tahini",1
"peas, tahini",1
"tahini, water",2
"radishes, rice",2
"radishes, root",1
"radishes, turkey",1
"root, turkey",8
"lemon, paper",1
"lemon, squash",2
"oil, paper",7
"paper, pepper",5
"paper, seasoning",1
"paper, squash",1
"paper, wedges",2
"paper, zucchini",1
"squash, wedges",2
"wedges, zucchini",4
"butter, drippings",3
"drippings, mushrooms",3
"drippings, parsley",3
"drippings, pork",1
"leaf, pork",3
"basil, eighths",2
"carrots, eighths",1
"chicken, eighths",1
"chicken, foil",3
"eighths, foil",1
"basil, home",1
"broth, home",1
"carrots, home",1
"celery, home",1
"cheese, home",1
"home, oil",1
"home, onion",1
"home, parsley",1
"home, pasta",1
"home, pepper",1
"home, salt",1
"home, spinach",1
"carrot, savory",1
"carrot, yeast",1
"celery, savory",2
"flour, savory",2
"garlic, savory",4
"garlic, yeast",5
"juice, savory",2
"juice, yeast",7
"leaves, savory",3
"potato, savory",1
"potato, seeds",5
"potato, yeast",1
"sage, seeds",5
"savory, seeds",2
"savory, yeast",1
"seeds, thyme",9
"seeds, yeast",3
"cubes, florets",2
"florets, masala",3
"florets, wedges",5
"masala, wedges",4
"carrot, ground",2
"carrot, herbs",2
"celery, herbs",2
"cloves, herbs",4
"crumbs, ground",3
"crumbs, herbs",1
"egg, ground",2
"egg, herbs",1
"ground, herbs",1
"ground, mushrooms",3
"ground, sauce",4
"herbs, mushrooms",3
"herbs, sauce",1
"paste, squash",6
"bison, chili",1
"bison, cocoa",1
"bison, cumin",1
"bison, onion",3
"bison, sausage",1
"bison, stem",1
"bison, tomatoes",2
"chili, cocoa",2
"chili, stem",1
"cloves, stem",2
"cocoa, sauce",2
"cocoa, sausage",1
"cocoa, stem",1
"cumin, stem",2
"oil, stem",2
"onion, stem",2
"pepper, stem",2
"salt, stem",1
"sauce, stem",1
"sausage, stem",1
"stem, tomatoes",1
"stem, water",1
"chili, quinoa",3
"corn, quinoa",4
"crumbs, lettuce",3
"lentils, lettuce",2
"lettuce, parsley",6
"celery, puree",2
"chili, liquid",7
"liquid, puree",1
"allspice, inch",2
"cardamom, cream",3
"cardamom, inch",2
"cardamom, stock",5
"celery, inch",1
"cream, inch",2
"ginger, inch",4
"inch, nutmeg",1
"inch, stock",1
"basil, shortening",1
"beef, shortening",1
"cheese, shortening",2
"cinnamon, shortening",3
"mushrooms, shortening",1
"potatoes, shortening",3
"shortening, tomato",1
"carrots, tvp",1
"cilantro, tvp",1
"cinnamon, tvp",1
"cloves, tvp",1
"cream, tvp",1
"honey, liquid",2
"honey, tvp",1
"juice, tvp",1
"liquid, tvp",1
"onions, tvp",1
"salt, tvp",1
"apple, cardamom",1
"apple, cilantro",5
"apple, peppers",1
"apple, potato",7
"apple, seed",3
"apple, tamarind",1
"broth, tamarind",3
"cardamom, carrot",1
"cardamom, curry",5
"cardamom, potato",1
"cardamom, tamarind",1
"carrot, tamarind",1
"curry, peppers",10
"curry, potato",8
"curry, seed",3
"curry, tamarind",2
"juice, tamarind",3
"lentils, peppers",5
"lentils, potato",7
"lentils, seed",3
"lentils, tamarind",3
"milk, tamarind",1
"peppers, potato",2
"peppers, seed",5
"peppers, tamarind",3
"potato, seed",2
"potato, tamarind",1
"potato, turmeric",11
"seed, tamarind",1
"tamarind, turmeric",2
"eggplant, florets",1
"eggplant, paprika",1
"bouillon, liquid",2
"liquid, ribs",1
"cubes, peppercorns",4
"cubes, ribs",2
"peppercorns, ribs",2
"peppercorns, squash",1
"ribs, wedges",1
"cloves, skillet",1
"gochugaru, pear",1
"gochugaru, rice",2
"gochugaru, salt",3
"gochugaru, sauce",4
"gochugaru, skillet",1
"gochugaru, slices",1
"gochugaru, tops",1
"oil, skillet",1
"onion, skillet",1
"pear, salt",2
"pear, skillet",1
"pear, slices",1
"pear, tops",1
"rice, skillet",1
"salt, skillet",1
"sauce, skillet",1
"skillet, slices",1
"skillet, sugar",1
"skillet, tops",1
"slices, tops",1
"ale, onions",1
"ale, potatoes",2
"broth, cut",1
"cut, leaf",1
"cut, oil",3
"cut, onions",1
"cut, sauce",2
"cut, sugar",2
"cut, vinegar",1
"cut, wine",1
"cloves, matchstick",1
"guinness, matchstick",1
"matchstick, sugar",1
"brisket, coriander",1
"guinness, peppercorns",1
"guinness, sticks",1
"guinness, wedges",1
"potatoes, sticks",1
"sticks, stock",5
"sticks, wedges",1
"blend, foil",3
"celery, foil",2
"foil, rice",3
"beans, chops",7
"beans, foil",4
"foil, mix",2
"foil, slices",3
"foil, soup",1
"mix, slices",6
"chops, spice",3
"cornstarch, spice",4
"chops, syrup",3
"beets, parsley",2
"beets, sausage",1
"beets, tomato",2
"casings, crumbs",3
"casings, lengthwise",4
"bottle, membrane",2
"bottle, oil",1
"bottle, onion",2
"bottle, peel",1
"bottle, pepper",2
"bottle, salt",2
"bottle, spice",1
"bottle, sugar",2
"bottle, water",2
"membrane, oil",1
"membrane, onion",3
"membrane, peel",1
"membrane, pepper",3
"membrane, salt",3
"membrane, spice",1
"membrane, sugar",2
"membrane, water",2
"beer, cajun",1
"cajun, carrots",1
"cajun, peppers",3
"cajun, ribs",2
"cajun, vinegar",1
"peppers, ribs",3
"cinnamon, spareribs",3
"onions, spareribs",1
"root, spareribs",1
"soy, spareribs",2
"spareribs, wine",1
"capers, granules",1
"granules, salmon",1
"parsley, salmon",13
"salmon, water",12
"beans, pecans",1
"beans, skin",4
"broth, pecans",4
"honey, skin",6
"pecans, rice",3
"pecans, skin",1
"potato, skin",1
"rice, skin",7
"crackers, ounce",5
"broth, pliers",2
"florets, kale",2
"florets, pliers",1
"florets, tomato",4
"kale, milk",2
"kale, parts",1
"kale, pliers",1
"milk, parts",2
"milk, pliers",1
"oil, pliers",2
"onion, pliers",2
"parts, pliers",1
"pepper, pliers",1
"pliers, salt",1
"pliers, sauce",1
"pliers, tomato",1
"fillets, half",2
"half, weed",2
"bacon, salmon",1
"bacon, weed",3
"carrots, salmon",3
"flour, salmon",10
"kernels, salmon",1
"kernels, weed",1
"onions, salmon",5
"potatoes, salmon",8
"salmon, stock",3
"salmon, weed",10
"salmon, wine",6
"fillets, pesto",1
"milk, pesto",7
"miso, skin",1
"miso, sriracha",1
"skin, sriracha",2
"sriracha, syrup",1
"bay, fillets",6
"bay, thirds",1
"crumbs, thirds",1
"fillets, thirds",1
"fillets, worcestershire",3
"mayonnaise, thirds",1
"mustard, thirds",4
"thirds, worcestershire",1
"fillet, soy",3
"fillet, syrup",1
"pasta, sherry",2
"beans, french",1
"beans, summer",1
"carrots, french",1
"carrots, summer",2
"cheese, summer",1
"chunks, french",1
"chunks, summer",1
"french, milk",1
"french, mushrooms",1
"french, noodles",1
"french, oil",2
"french, peas",1
"french, pepper",2
"french, sauce",2
"french, soup",1
"french, summer",1
"milk, summer",1
"mushrooms, summer",1
"noodles, summer",1
"oil, summer",2
"onion, summer",1
"peas, summer",1
"pepper, summer",2
"sauce, summer",1
"soup, summer",1
"alfredo, carrot",1
"alfredo, celery",1
"alfredo, cheese",4
"alfredo, chunks",1
"alfredo, cream",1
"alfredo, crumbs",1
"alfredo, dill",1
"alfredo, mushrooms",3
"alfredo, oil",2
"alfredo, onion",1
"alfredo, pasta",2
"alfredo, pepper",1
"alfredo, spray",2
"alfredo, wedges",1
"carrot, dill",5
"dill, spray",5
"carrot, raisins",2
"carrot, tuna",3
"cilantro, tuna",1
"peanuts, raisins",1
"peanuts, tuna",1
"raisins, tuna",1
"rolls, soup",1
"rolls, tuna",1
"rolls, vegetables",1
"tuna, vegetables",1
"cinnamon, tuna",1
"coriander, tuna",1
"ginger, tuna",1
"tuna, zest",2
"crumbs, stock",7
"stock, tuna",2
"dill, peas",6
"dill, tuna",3
"pasta, tuna",8
"carrot, craisins",1
"carrot, oelek",1
"cilantro, craisins",1
"craisins, oelek",1
"craisins, onions",1
"craisins, pepper",5
"craisins, sauce",1
"craisins, seeds",1
"honey, oelek",1
"oelek, seeds",2
"basil, tuna",2
"dill, leaves",11
"leaves, tuna",1
"tuna, water",4
"eggs, ounces",2
"eggs, wasabi",2
"flour, wasabi",2
"mix, tuna",1
"mix, wasabi",1
"oil, ounces",12
"oil, wasabi",4
"onion, wasabi",2
"ounces, sauce",4
"ounces, seeds",1
"ounces, tuna",1
"ounces, wasabi",1
"pepper, wasabi",4
"salt, wasabi",3
"sauce, wasabi",1
"seeds, wasabi",1
"tuna, wasabi",1
"carrot, dressing",2
"carrot, jicama",3
"cilantro, dressing",4
"cilantro, jicama",5
"cucumber, shallot",2
"dressing, jicama",1
"dressing, juice",5
"dressing, shallot",1
"dressing, water",5
"jicama, shallot",1
"jicama, tomato",1
"shallot, tomato",4
"broth, tuna",1
"cheese, yolks",8
"chives, tuna",2
"chives, yolks",2
"crumbs, yolks",3
"dill, milk",11
"dill, yolks",2
"milk, yolks",12
"mushrooms, yolks",1
"parsley, yolks",4
"peas, yolks",1
"tuna, yolks",1
"chips, mayonnaise",6
"tomatoes, tuna",4
"mayonnaise, paste",6
"mayonnaise, rice",12
"mayonnaise, seaweed",4
"combination, fillet",1
"combination, foil",1
"combination, miso",1
"combination, mushrooms",1
"combination, oil",1
"combination, pepper",1
"combination, spears",1
"combination, sugar",1
"combination, water",2
"fillet, foil",1
"fillet, miso",1
"fillet, mushrooms",1
"fillet, spears",1
"foil, miso",2
"foil, spears",1
"foil, water",7
"miso, spears",1
"mushrooms, spears",1
"beans, olive",1
"chunks, olive",1
"fillets, olive",1
"mustard, olive",1
"oil, olive",1
"olive, parsley",1
"olive, pepper",1
"olive, salt",1
"olive, spray",1
"olive, tomatoes",1
"olive, wedges",1
"fillets, peas",3
"fillets, seeds",1
"peas, wedges",4
"seeds, wedges",6
"butter, fish",4
"cheese, fish",2
"cream, fish",1
"cubes, fish",1
"fish, milk",4
"fish, nutmeg",2
"broth, cod",1
"broth, turbodog",1
"butter, turbodog",1
"celery, cod",4
"celery, scallops",6
"celery, turbodog",1
"cod, rice",1
"cod, scallops",1
"cod, seasoning",1
"cod, thyme",1
"cod, turbodog",1
"cod, worcestershire",1
"flour, turbodog",1
"onion, turbodog",1
"pepper, turbodog",1
"rice, turbodog",1
"salt, turbodog",1
"scallops, turbodog",1
"scallops, water",8
"scallops, worcestershire",1
"seasoning, turbodog",1
"shrimp, turbodog",1
"thyme, turbodog",1
"turbodog, water",1
"turbodog, worcestershire",1
"rings, zucchini",2
"bacon, bay",4
"bacon, fillets",4
"bay, broth",8
"bay, cubes",1
"bay, kernels",1
"bay, milk",5
"bay, water",11
"cubes, fillets",2
"fillets, kernels",2
"bread, carrot",2
"bread, clams",3
"bread, cod",1
"bread, mussels",2
"bread, prawns",1
"bread, wine",5
"carrot, clams",2
"carrot, cod",2
"carrot, mussels",1
"carrot, prawns",2
"celery, mussels",3
"celery, prawns",1
"clams, cod",1
"clams, garlic",10
"clams, mussels",13
"clams, prawns",1
"cod, mussels",1
"garlic, prawns",2
"mussels, prawns",1
"prawns, water",1
"flour, stick",1
"ginger, scallops",4
"milk, stick",1
"nutmeg, stick",2
"potatoes, scallops",2
"scallops, stick",1
"bay, carrot",2
"bay, mushrooms",8
"bay, potatoes",13
"bay, yolk",1
"carrot, yolk",3
"parsley, yolk",5
"butter, prawns",1
"carrot, chives",6
"carrot, scallops",2
"chives, leek",1
"chives, prawns",1
"chives, scallops",2
"ginger, leek",2
"ginger, prawns",1
"leek, prawns",1
"prawns, scallops",1
"prawns, stock",1
"scallops, stock",3
"cabbage, ham",6
"carrots, scallops",4
"florets, scallops",1
"meat, scallops",2
"basil, chachere",1
"basil, crackers",3
"basil, portion",1
"basil, weed",9
"butter, portion",1
"carrot, chachere",1
"carrot, crabmeat",2
"carrot, crackers",1
"carrot, portion",1
"celery, portion",1
"chachere, crackers",1
"chachere, eggs",2
"chachere, portion",1
"chachere, weed",1
"crabmeat, flakes",2
"crabmeat, portion",1
"crabmeat, weed",3
"crackers, portion",1
"crackers, weed",2
"eggs, portion",1
"flakes, portion",1
"flakes, weed",10
"oil, portion",1
"onion, portion",1
"pepper, portion",1
"portion, thyme",1
"portion, weed",1
"eggs, sherry",2
"lemon, sherry",2
"dough, meat",2
"dough, sauce",6
"dough, strips",1
"frying, meat",2
"frying, strips",2
"meat, strips",6
"bay, carrots",5
"bay, corn",5
"bay, legs",2
"bay, rounds",1
"carrots, rounds",5
"legs, rounds",1
"potatoes, rounds",13
"rounds, shrimp",3
"cheese, whip",13
"crabmeat, whip",1
"crumbs, whip",2
"fillets, whip",1
"parsley, whip",4
"pepper, whip",17
"avocado, crabmeat",4
"avocado, matchsticks",1
"avocado, wrappers",1
"crabmeat, matchsticks",1
"matchsticks, mayonnaise",2
"matchsticks, wrappers",2
"mayonnaise, wrappers",1
"beans, beets",2
"beets, garlic",1
"beets, juice",2
"beets, meat",1
"beets, mushrooms",1
"beets, peas",1
"beets, sauce",1
"beets, thyme",1
"beets, vegetables",1
"peas, vegetables",2
"hearts, ounces",1
"clams, ounce",4
"clams, weed",2
"ounce, weed",10
"butter, seafood",2
"celery, seafood",2
"cheese, seafood",2
"crabmeat, seafood",1
"crabmeat, soup",2
"crumbs, seafood",1
"onions, seafood",1
"salt, seafood",1
"seafood, soup",1
"seafood, water",1
"crabmeat, grape",1
"crabmeat, palm",1
"crabmeat, spears",2
"crabmeat, strips",2
"garlic, palm",1
"grape, juice",4
"grape, palm",1
"grape, spears",1
"grape, strips",1
"juice, palm",1
"palm, spears",1
"palm, strips",1
"bouillon, choy",1
"choy, clams",1
"choy, cream",1
"choy, ounce",1
"clams, cream",10
"ounce, wine",5
"basil, clams",8
"clams, worcestershire",1
"basil, cocktail",2
"cocktail, leaf",1
"cocktail, onions",2
"cocktail, shrimp",6
"clams, half",5
"cocktail, horseradish",2
"cocktail, paste",1
"cocktail, tabasco",1
"horseradish, paste",1
"clams, stock",5
"clams, tabasco",1
"parsley, tabasco",3
"stock, tabasco",3
"butter, grease",4
"clams, corn",3
"clams, cornstarch",1
"clams, grease",1
"clams, liquid",1
"cornstarch, grease",1
"grease, liquid",1
"carrots, fillets",3
"chunks, mussels",3
"chunks, saffron",1
"mussels, paprika",3
"mussels, peas",4
"mussels, rice",4
"mussels, rings",3
"mussels, saffron",2
"mussels, shrimp",19
"peas, rings",4
"peas, saffron",4
"rings, saffron",1
"saffron, shrimp",3
"saffron, tomatoes",5
"bacon, hearts",2
"bacon, saffron",1
"beans, saffron",2
"carrots, saffron",6
"hearts, saffron",1
"hearts, spaghetti",2
"saffron, spaghetti",1
"spaghetti, stock",3
"ginger, half",11
"ginger, pla",1
"half, pla",1
"half, sprouts",2
"half, strips",4
"leaves, pla",1
"oil, pla",1
"onions, pla",1
"peppers, pla",1
"peppers, sprouts",7
"pla, sauce",1
"pla, seeds",1
"pla, sprouts",1
"pla, strips",1
"basil, file",1
"carrots, file",1
"carrots, ounces",1
"carrots, oysters",1
"celery, ounces",3
"cloves, ounces",9
"file, garlic",4
"file, leaf",2
"file, oil",5
"file, onions",3
"file, ounces",1
"file, oysters",2
"file, paprika",3
"file, parsley",2
"file, sauce",4
"file, thyme",5
"leaf, ounces",2
"leaf, oysters",2
"leaves, ounces",1
"leaves, oysters",1
"ounces, oysters",1
"ounces, parsley",7
"ounces, shrimp",4
"ounces, water",5
"oysters, paprika",3
"oysters, thyme",3
"oysters, water",1
"file, stock",2
"oysters, stock",2
"crackers, mix",3
"mix, weed",4
"carrot, hearts",2
"celery, hearts",2
"flour, hearts",3
"hearts, sage",1
"hearts, thyme",3
"chestnuts, size",2
"bacon, thirds",2
"cubes, thirds",2
"mushrooms, thirds",2
"stock, thirds",2
"bok, garlic",1
"bok, mushrooms",1
"bok, onion",1
"bok, salt",1
"bok, starch",1
"garlic, starch",4
"mushrooms, starch",1
"beans, wings",1
"bouillon, chickpeas",3
"bouillon, hominy",2
"bouillon, kernels",4
"bouillon, wings",1
"chickpeas, hominy",1
"chickpeas, kernels",2
"chickpeas, peppers",2
"chickpeas, squash",1
"chickpeas, wings",1
